Артикул;Наименование;Группа;Статистика;Кол-во;Цена;Питер-5;Е;%
13230774;Сайлентблок рычага переднего задний, а/м Круз;General Motors;;6;1 919,98;1912,35;1683,99;-12,29 
212301802120200;Сальник внутреннего вала взборе;General Motors;;11;36,86;156,75;137,25;272,40 
212132301035000;Сальник внутреннего шарнира левый;General Motors;;9;3,31;10,45;9,15;176,28 
212132301034000;Сальник внутренниго шарнира правый;General Motors;;8;3,44;10,45;9,15;165,79 
642501;Сальник клапана;General Motors;;16;20,17;114;99,82;394,82 
210101005160020;Сальник коленчитого вала задний;General Motors;;9;20,20;54,15;47,41;134,74 
210101701043010;Сальник первичного вала КП;General Motors;;6;3,56;14,25;12,47;250,38 
212141701043000;Сальник первичного вала КП;General Motors;;6;8,22;26,6;23,29;183,24 
210102402052030;Сальник редуктора заднего моста;General Motors;;7;5,31;14,25;12,47;134,63 
212141005162000;Сальник С8002691 коленвала задний;General Motors;;7;104,96;289,75;253,72;141,74 
6223044;Светоотражатель правый Вектра С 2002-2008;General Motors;;1;90,64;1496,25;1317,58;1353,57 
1214528;Свеча зажигания  A16LET    Astra\ Insignia;General Motors;21;2;165,36;895,85;784,45;374,40 
96130723;Свеча зажигания (BKR6E), а/м Авео/Лачетти/Круз#/спарк м300;General Motors;5078;2;49,10;120,65;105,64;115,17 
4802249;Свеча зажигания ANTARA/CAPTIVA  (12622561);General Motors;;2;89,61;399,95;350,21;290,81 
1934737055576026;"Свеча зажигания Cruze 1,4T; Astra J 1.4T; Mokka 1.4T; Meriva B 1,4T; Zafira C 1,4T";General Motors;;2;89,15;;;
1934736812620540;Свеча зажигания Insignia 2,0T;General Motors;;8;72,93;;;
1214066;Свеча зажигания: A14NET,NEL,XER/Z12,14XEP/A12XEL,XER/B14NEL,NET (55576026);General Motors;74;5;177,97;659,3;577,32;224,40 
1214096;Свеча накала Мерива;General Motors;;3;256,50;636,5;557,35;117,29 
212141006240300;Скоба в сборе;General Motors;;8;2,50;6,65;5,82;132,42 
13345404;Скоба тормозного суппорта. а/м Круз;General Motors;;5;452,96;114;99,82;-77,96 
13345403;Скоба тормозного суппорта. а/м Круз з/л;General Motors;;5;452,96;89,3;78,19;-82,74 
1948336;Смазка механизма рул.привода;General Motors;;6;183,80;;;
1732821;Солнцезащитная шторка заднего стекла Corsa D;General Motors;;2;853,48;;;
1732822;Солнцезащитная шторка заднего стекла Корса D;General Motors;;2;767,88;1736,6;1529,23;99,15 
1705064;Спойлер задний Corsa D;General Motors;;1;2 204,04;3629;3214,34;45,84 
1719281;Спойлер задний OPEL Insignia (Sedan) ниж;General Motors;;1;1 905,79;4617;4111,67;115,75 
96806104;Спойлер задний, а/м Авео T-250 sed;General Motors;;1;1 167,27;5267,75;4691,2;301,90 
96545706;Спойлер задний, а/м Лачетти;General Motors;;2;610,11;6152,2;5494,01;800,49 
95972315;Спойлер, а/м Авео Т300 (хечбек,задний);General Motors;;1;711,20;163,4;143,08;-79,88 
212302906010000;Стабилизатор в сборе;General Motors;;1;126,42;;;
350181;Стабилизатор поперечной устойчивости, а/м Корса D;General Motors;;2;1 399,36;;;
0000193175885000;Стартер в сборе;General Motors;;1;986,42;;;
94552554;Стекло ветровое;General Motors;;1;3 589,48;14360,2;12930,12;260,22 
96984863;Стеклоподъемник двери (механический) (95999488), а/м Круз;General Motors;;1;489,72;7833,7;7034,57;1336,44 
95999487;Стеклоподъемник двери (механический), а/м Круз;General Motors;;1;303,28;7136,4;6390,04;2007,00 
95999490;Стеклоподъемник двери (электрический) а/м Круз;General Motors;;1;603,31;339,15;296,97;-50,78 
95999489;Стеклоподъемник двери (электрический), а/м Круз;General Motors;;2;603,31;1124,8;984,93;63,25 
140340;Стеклоподъемник двери Астра J;General Motors;;2;1 568,32;;;
95983553;СТЕРЖЕНЬ РЕЗЬБОВОЙ М6;General Motors;;1;10,53;4,75;4,15;-60,61 
4817515;Стойка стабилизатора подвески, а/м Антара прав;General Motors;;1;221,49;;;
1222578;Стоп-сигнал дополнительный;General Motors;;1;304,07;;;
1082T200R;Ступица задняя, а/м Авео;General Motors;;1;501,25;;;
326004;Ступица колеса;General Motors;;1;1 239,01;;;
326012;Ступица колеса;General Motors;;2;949,14;;;
328032;Ступица колеса;General Motors;;2;1 405,67;7944,85;7134,38;407,54 
1604017;Ступица колеса заднего в сборе Корса D;General Motors;;1;988,73;5457,75;4860,4;391,58 
1604316;Ступица колеса заднего в сборе, а/м Астра Н;General Motors;;2;3 025,57;3719,25;3294,28;8,88 
96471776;Ступица колеса заднего, а/м Авео;General Motors;;1;782,00;3249,95;2878,6;268,11 
13577406;Ступица колеса задняя КРУЗ 2;General Motors;;2;1 338,13;4978,95;4434,01;231,36 
1603253;Ступица колеса переднего, а/м Астра Н/Зафира В;General Motors;;4;2 421,49;5244;4670,05;92,86 
1934764913583478;"Ступица передняя (Cruze; Astra J)";General Motors;;1;574,71;;;
13269018;Стяжка задн. внутр верх прав., Круз;General Motors;;1;0,24;212,8;186,33;78327,99 
000017501413100;Сумка спортивная с символикой;General Motors;;5;198,75;748,6;655,51;229,82 
000017501413100;Сумка спортивная с символикой;General Motors;;1;198,75;748,6;655,51;229,82 
13301190;Суппорт тормозной правый;General Motors;;1;1 588,38;3332,6;2951,81;85,84 
TSMSR0;Телематическая система R-0;General Motors;;3;1 701,70;3032,4;2685,91;57,84 
212303408200010;Теплообменник ГУР в сборе;General Motors;;1;134,01;;;
212301306010050;Термостат;General Motors;;1;62,45;348,65;305,29;388,87 
4431105D;Термостат Z18xer Z16XER;General Motors;;2;1 170,06;;;
212301306010010;Термостат в сборе;General Motors;;1;81,99;;;
95938113;Токораспределительная коробка;General Motors;;2;3 153,84;4238,9;3754,56;19,05 
4805453;Толкатель клапана двигателя Круз 2.0;General Motors;;4;103,47;831,25;727,88;603,49 
194205893746642;"Тормозная жидкость ""DOT-4+"",  0,5L(1942421)";General Motors;;4;97,04;;;
542110;Тормозной супполрт/2;General Motors;;1;2 409,19;;;
0713;Тосол 10л;General Motors;;1;213,41;;;
000017504665200;Трос буксировочный с крюками, 5 т;General Motors;;1;120,99;296,4;259,54;114,51 
000017504665200;Трос буксировочный с крюками, 5 т;General Motors;;1;120,99;296,4;259,54;114,51 
000017504665100;Трос буксировочный с шаклами;General Motors;;1;109,21;;;
759146;Трос переключения передач АКПП;General Motors;;1;367,91;;;
522057;Трос ручного тормоза в сборе Инсигния;General Motors;;1;166,89;;;
522449;Трос стояночного тормоза  в пластиковой оболочке КорсаС;General Motors;;1;49,91;;;
522069;Трос стояночного тормоза в сборе Астра Н унив;General Motors;;1;556,49;;;
1178013;Тросик капота, астра;General Motors;;1;0,24;;;
212308120052210;Трубка 5/16, конденсатор- ресивер;General Motors;;1;90,60;462,65;405,12;347,14 
1850141;Трубка дренажная (сливная) кондиционера, а/м Астра J;General Motors;;1;44,21;255,55;223,77;406,19 
1850140;Трубка дренажная (сливная) кондиционера, а/м Астра J;General Motors;;1;30,74;25,65;22,46;-26,93 
96859682;Трубка компрессора кондиционера Авео 2004-2008;General Motors;;1;542,81;2197,35;1934,96;256,47 
212308120790410;Трубка конденс нагнетающая, Нива;General Motors;;1;116,26;559,55;489,97;321,46 
951066;Трубка маслоохладителя рулевого Круз;General Motors;;4;3 593,87;19675,45;17716,05;392,95 
212141006201300;Трубка првода масла в сборе;General Motors;;1;28,99;71,25;62,39;115,18 
1609130;Трубка рулевого управления Круз;General Motors;;1;298,23;;;
96941802;Трубка системы охлаждения;General Motors;;1;464,94;931,95;816,06;75,52 
13301834;Трубка системы рулевого управления;General Motors;;3;1 014,49;2264,8;2006,02;97,74 
13301831;Трубка системы рулевого управления  диаг.;General Motors;;2;2 045,27;6625,3;5916,5;189,28 
6450505;Трубка стеклоомывателя;General Motors;;1;563,27;2772,1;2455,35;335,91 
13337678;Трубки ГУРа (компл), а/м Круз;General Motors;;4;169,70;287,85;252,05;48,53 
96987849;Трубки системы рулевого управления;General Motors;;2;253,50;1950,35;1717,46;577,50 
212308120790310;Трубопровод конденсатор-компресор;General Motors;;1;121,69;870,2;761,99;526,18 
94732684;Тяга замка двери;General Motors;;1;10,83;63,65;55,73;414,64 
1609219;Тяга рулевая;General Motors;;3;259,64;1510,5;1330,13;412,29 
1609218;Тяга рулевая;General Motors;;3;259,64;1129,55;989,09;280,94 
1609217;Тяга рулевая;General Motors;;2;259,64;603,25;528,23;103,44 
212303414010200;Тяга средняя рулевой;General Motors;;1;184,13;299,25;262,04;42,32 
181725;Удлинительная панель кузова;General Motors;;1;382,22;;;
